Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1940,2.13038347718638,1940.1,3,57500.0,3
1940,2.13038347718638,1940.2,1,47400.0,3
1940,2.13038347718638,1940.3,2,69600.0,3
1941,2.0956554396676865,1941.0,0,26900.0,0
1942,1.774286946175837,1942.1,2,54600.0,2
1942,1.774286946175837,1942.2,1,32600.0,2
1943,2.695944085771446,1943.1,3,73800.0,2
1943,2.695944085771446,1943.2,3,73700.0,2
1944,1.9329706939273976,1944.0,0,12400.0,0
1945,2.068118725228893,1945.1,2,70900.0,3
1945,2.068118725228893,1945.2,1,32400.0,3
1945,2.068118725228893,1945.3,1,32200.0,3
1946,1.5924662373644651,1946.0,0,13300.0,0
1947,1.3419530990799484,1947.0,0,20100.0,0
1948,3.460883501877312,1948.0,0,17600.0,0
1949,2.471305226621186,1949.0,0,25500.0,0
1950,1.2184889021897458,1950.1,5,132000.0,3
1950,1.2184889021897458,1950.2,2,76400.0,3
1950,1.2184889021897458,1950.3,3,60300.0,3
1951,2.7228297230648812,1951.1,1,39500.0,1
1952,2.121225730433743,1952.0,0,30500.0,0
1953,2.8023204096451924,1953.0,0,27600.0,0
1954,1.1156926923276194,1954.1,1,36500.0,1
1955,0.8458589031242054,1955.1,7,69300.0,1
1956,3.205120150242028,1956.1,3,33500.0,1
1957,2.5197914808298463,1957.0,0,28200.0,0
1958,2.631258671369859,1958.1,2,33000.0,1
1959,2.544160392765517,1959.0,0,6260.0,0
1960,1.3806477866084734,1960.0,0,5170.0,0
1961,1.5434525993526464,1961.0,0,4540.0,0
1962,1.2840418741020372,1962.0,0,7870.0,0
1963,2.986571248316581,1963.1,5,74100.0,1
1964,2.6578661960140275,1964.1,7,115000.0,1
1965,2.910808880952728,1965.1,4,35500.0,1
1966,1.5669878151381265,1966.0,0,22600.0,0
1967,1.9795213149576718,1967.1,3,35900.0,1
1968,1.7407849272416362,1968.0,0,8230.0,0
1969,0.8675796976816754,1969.1,3,67200.0,2
1969,0.8675796976816754,1969.2,3,39900.0,2
1970,3.632410007127249,1970.1,3,52200.0,2
1970,3.632410007127249,1970.2,4,50300.0,2
1971,2.202876464444542,1971.0,0,8240.0,0
1972,2.339647913067106,1972.0,0,5270.0,0
1973,1.7617497068739827,1973.1,2,31900.0,1
1974,2.7754966199457693,1974.0,0,26400.0,0
