Year,Signal,Cluster_ID,Duration,Intensity,Frequency
1940,0.00478108229014974,1940.1,3,57500.0,3
1940,0.00478108229014974,1940.2,1,47400.0,3
1940,0.00478108229014974,1940.3,3,69600.0,3
1941,0.004899842557779758,1941.0,0,26900.0,0
1942,0.004297383686612538,1942.1,4,54600.0,3
1942,0.004297383686612538,1942.2,2,32600.0,3
1942,0.004297383686612538,1942.3,1,29300.0,3
1943,0.00634424900858481,1943.1,4,73800.0,2
1943,0.00634424900858481,1943.2,3,73700.0,2
1944,0.007354505416868197,1944.0,0,12400.0,0
1945,0.00585226506118771,1945.1,2,70900.0,3
1945,0.00585226506118771,1945.2,1,32400.0,3
1945,0.00585226506118771,1945.3,1,32200.0,3
1946,0.008303216364366133,1946.0,0,13300.0,0
1947,0.006330315770760118,1947.0,0,20100.0,0
1948,0.005349364617425919,1948.0,0,17600.0,0
1949,0.007439051123522778,1949.0,0,25500.0,0
1950,0.005873548181155383,1950.1,5,132000.0,3
1950,0.005873548181155383,1950.2,2,76400.0,3
1950,0.005873548181155383,1950.3,3,60300.0,3
1951,0.00544245409094655,1951.1,2,39500.0,1
1952,0.0049654715957401264,1952.1,1,27700.0,3
1952,0.0049654715957401264,1952.2,1,27500.0,3
1952,0.0049654715957401264,1952.3,1,30500.0,3
1953,0.005493168807696149,1953.1,1,27600.0,1
1954,0.0082996076123825,1954.1,1,36500.0,1
1955,0.005652328528479644,1955.1,7,69300.0,1
1956,0.00544709336735123,1956.1,3,33500.0,1
1957,0.008307639732477338,1957.1,1,28200.0,1
1958,0.006732507064209781,1958.1,4,33000.0,2
1958,0.006732507064209781,1958.2,2,28300.0,2
1959,0.004388701917789674,1959.0,0,6260.0,0
1960,0.005395222541128084,1960.0,0,5170.0,0
1961,0.004756710885411632,1961.0,0,4540.0,0
1962,0.006013535654219798,1962.0,0,7870.0,0
1963,0.008063858066248918,1963.1,5,74100.0,1
1964,0.00975588416557479,1964.1,7,115000.0,1
1965,0.005101216473002424,1965.1,5,35500.0,1
1966,0.004902987108226053,1966.0,0,22600.0,0
1967,0.005128017308945826,1967.1,3,35900.0,1
1968,0.006568736107166734,1968.0,0,8230.0,0
1969,0.004815419549344085,1969.1,4,67200.0,2
1969,0.004815419549344085,1969.2,4,39900.0,2
1970,0.005911713540332972,1970.1,4,52200.0,2
1970,0.005911713540332972,1970.2,5,50300.0,2
1971,0.009149438349442696,1971.0,0,8240.0,0
1972,0.005265593078235117,1972.0,0,5270.0,0
1973,0.005203287629668856,1973.1,3,31900.0,1
1974,0.005589578557398948,1974.0,0,26400.0,0
1975,0.008405911289454391,1975.0,0,8250.0,0
1976,0.008537882420113947,1976.0,0,3070.0,0
1977,0.005370570990700148,1977.0,0,1300.0,0
1978,0.002845542848132974,1978.0,0,15200.0,0
1979,0.00474687521455224,1979.0,0,16000.0,0
1980,0.0033433497848545635,1980.1,6,80200.0,2
1980,0.0033433497848545635,1980.2,4,34500.0,2
1981,0.004703117174768783,1981.1,4,36100.0,1
1982,0.017283301591479557,1982.1,3,84200.0,3
1982,0.017283301591479557,1982.2,2,49400.0,3
1982,0.017283301591479557,1982.3,2,34800.0,3
1983,0.009162214986133217,1983.1,4,34400.0,3
1983,0.009162214986133217,1983.2,3,36200.0,3
1983,0.009162214986133217,1983.3,4,47200.0,3
1984,0.002150321951368761,1984.0,0,19600.0,0
1985,0.0025170404009995494,1985.0,0,4110.0,0
1986,0.0032210683403476477,1986.1,8,131000.0,2
1986,0.0032210683403476477,1986.2,3,40900.0,2
1987,0.00709040585733108,1987.0,0,3500.0,0
1988,0.008562427921584733,1988.0,0,4550.0,0
1989,0.006769587327342771,1989.0,0,24400.0,0
